,id,year,month,day,country,state,latitude,longitude,target,weapon,casualties,injuries,total
1185,1.97E+11,1972,2,22,India,Delhi,28.632381,77.220004,Airports & Aircraft,Explosives/Bombs/Dynamite,0,0,0
2688,1.98E+11,1975,1,2,India,Bihar,25.863042,85.781004,Government (General),Explosives/Bombs/Dynamite,4,0,4
3780,1.98E+11,1976,5,26,India,Delhi,28.632381,77.220004,Airports & Aircraft,Explosives/Bombs/Dynamite,0,0,0
5251,1.98E+11,1977,9,28,India,Maharashtra,19.075984,72.877656,Airports & Aircraft,Firearms,0,0,0
7261,1.98E+11,1979,1,13,India,Assam,26.200605,92.937574,Police,Firearms,0,0,0
7266,1.98E+11,1979,1,14,India,Manipur,24.817011,93.936844,Government (General),Firearms,3,0,3
8098,1.98E+11,1979,4,26,India,Manipur,24.663717,93.906269,Police,Firearms,4,0,4
8609,1.98E+11,1979,6,14,India,Mizoram,23.164543,92.937574,Government (General),Firearms,1,0,1
8755,1.98E+11,1979,7,1,India,Assam,26.200604,92.937574,Government (General),Firearms,2,2,4
8760,1.98E+11,1979,7,2,India,Mizoram,23.727107,92.717639,Police,Unknown,0,0,0
8761,1.98E+11,1979,7,2,India,Mizoram,23.727107,92.717639,Telecommunication,Unknown,0,0,0
8977,1.98E+11,1979,8,8,India,Andhra Pradesh,16.435329,77.831725,Private Citizens & Property,Unknown,1,1,2
9037,1.98E+11,1979,8,19,India,Unknown,,,Police,Firearms,1,0,1
9040,1.98E+11,1979,8,20,India,Mizoram,23.469545,93.337934,Police,Firearms,1,0,1
9070,1.98E+11,1979,8,25,India,Mizoram,23.727107,92.717639,Government (General),Firearms,1,0,1
9072,1.98E+11,1979,8,26,India,Jharkhand,22.804567,86.202875,Religious Figures/Institutions,Explosives/Bombs/Dynamite,1,0,1
9081,1.98E+11,1979,8,27,India,Delhi,28.632381,77.220004,Government (General),Firearms,1,1,2
9082,1.98E+11,1979,8,27,India,Delhi,28.632381,77.220004,Police,Firearms,1,0,1
9090,1.98E+11,1979,8,29,India,Jharkhand,22.804567,86.202875,Private Citizens & Property,Explosives/Bombs/Dynamite,3,14,17
9137,1.98E+11,1979,9,8,India,Tamil Nadu,13.08268,80.270718,Transportation,Explosives/Bombs/Dynamite,3,0,3
9237,1.98E+11,1979,9,22,India,Manipur,24.663717,93.906269,Police,Firearms,4,0,4
